1;260;0;53;54;55;53;54;54;54;54;51;50;50;49;49;47;40;40;40;40;36,5;36;35;35;35;0
1;280;0;427810,83;448471,22;504631,12;577939,57;604277,86;630331,05;37347,71;70159,17;106263,98;147947,07;196293,62;229762,08;265343,31;290378,99;363782,31;382848,69;398513,3;419403,58;30336,81;68716,45;102548,34;132242,75;153457,46;0
3;430;0;124;121;118;116;114;116;137;138;139;139;128;120;115;110;108;105;102;99;57;51;45;38;35;0
3;440;0;1433969,43;1436780,65;1425748,33;1428981,66;1430047,04;1468471,32;1882912,03;1854151,07;1857776,7;1842783,72;1704030,33;1578070,21;1508652,54;1447091,61;1407441,04;1366735,75;1325174,35;1287434,94;714558,95;652222,92;582151,85;505880,15;461328,21;0
3;540;0;45;49;44;46;49;54;222;218;201;167;111;115;119;124;130;371;144;148;87;85;77;60;61;0
4;460;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;470;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;370;0;61;61;60;59;58;62;85;84;83;80;75;71;43;64;62;60;58;56;41;40;48;52;57;0
5;380;0;376206,89;377411,55;374674,8;371677,92;367807,75;391469,73;565360,53;556298,44;558983,48;542786,08;509090,54;484964,2;457305,53;438712,17;423291,69;418005,69;412785,47;406427,3;349977,14;354158,35;398388,65;427011,56;485367,52;0
5;440;0;88;95;100;107;114;131;155;268;362;265;196;216;226;248;266;223;230;231;1140;47;46;48;52;0
6;370;0;9;10;10;10;11;11;9;9;9;9;8;8;8;8;8;8;8;8;7;8;8;7;7;0
6;380;0;50105,87;52634,95;53600,67;57967,37;60344,89;60918,56;50666,84;51242,57;54104,63;54445,63;54663,16;53360,54;52431,08;51734,54;51163,22;50687,23;51299,6;51231,77;43023,6;45394,29;46660;43228,93;41170,29;0
6;440;0;83;84;86;75;81;83;72;60;67;83;83;107;107;139;154;142;158;152;58;36;51;53;63;0
7;440;0;5;5;6;6;7;8;15;18;16;14;11;10;9;9;8;8;9;9;4;3;3;5;5;0
7;450;0;17;16;15;14;13;12;6;8;7;5;8;9;9;9;8;8;9;9;7;8;12;13;14;0
7;460;0;79;82;80;77;77;83;83;79;80;78;79;79;82;84;85;86;86;87;83;73;74;76;76;0
7;470;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;300;0;350238,72;350696,39;351667,89;353825,95;353693,4;348647,17;289902,52;296747,83;294382,94;297139,25;299519,14;300633,45;302129,36;305094,43;306708,8;309602,38;310295,96;311699,58;329991,85;331097,97;338731,87;345303,4;348582,2;0
8;310;0;605291,4;605122,69;605656,45;608582,57;607548,26;597445,55;503505,24;513269,77;509716,81;514436,46;518665,88;520071,24;521075,06;528780,66;532498,57;538756,45;539522,57;541923,47;571690,3;571701,31;581248,06;598227,83;607141,7;0
